02 results:
===========================================================
GO/NO-GO GATE #1: MRE AUROC on clean MAGE
============================================================
  mre_r0.15: AUROC=0.6078  TPR@1%=0.1750  TPR@5%=0.2440  [lower=machine]  mean(H)=3.024 mean(M)=2.347
  mre_r0.30: AUROC=0.6054  TPR@1%=0.1830  TPR@5%=0.2360  [lower=machine]  mean(H)=3.771 mean(M)=3.014
  mre_r0.50: AUROC=0.5964  TPR@1%=0.1620  TPR@5%=0.2210  [lower=machine]  mean(H)=4.976 mean(M)=4.205
  mre_mean: AUROC=0.6023  TPR@1%=0.1780  TPR@5%=0.2260  [lower=machine]  mean(H)=3.923 mean(M)=3.189

Best: mre_r0.15 = 0.6078
🔴 NO-GO: AUROC < 0.70. Core premise is weak. Consider pivoting.

Per-generator AUROC:
  cmv_machine_continuation_13B: AUROC=0.9995 (n=1002)
  cmv_machine_continuation_30B: AUROC=0.9910 (n=1002)
  cmv_machine_continuation_65B: AUROC=0.9980 (n=1003)
  cmv_machine_continuation_7B: AUROC=0.9907 (n=1003)
  cmv_machine_continuation_GLM130B: AUROC=0.7400 (n=1003)
  cmv_machine_continuation_bloom_7b: AUROC=0.8150 (n=1001)
  cmv_machine_continuation_flan_t5_base: AUROC=0.6170 (n=1002)
  cmv_machine_continuation_flan_t5_large: AUROC=0.7470 (n=1003)
  cmv_machine_continuation_flan_t5_small: AUROC=0.7330 (n=1001)
  cmv_machine_continuation_flan_t5_xl: AUROC=0.6350 (n=1001)
  cmv_machine_continuation_gpt-3.5-trubo: AUROC=0.6127 (n=1003)
  cmv_machine_continuation_gpt_neox: AUROC=0.5623 (n=1003)
  cmv_machine_continuation_opt_1.3b: AUROC=0.5540 (n=1003)
  cmv_machine_continuation_opt_125m: AUROC=0.6023 (n=1006)
  cmv_machine_continuation_opt_13b: AUROC=0.7635 (n=1002)
  cmv_machine_continuation_opt_2.7b: AUROC=0.5155 (n=1004)
  cmv_machine_continuation_opt_30b: AUROC=0.6643 (n=1003)
  cmv_machine_continuation_opt_350m: AUROC=0.5175 (n=1002)
  cmv_machine_continuation_opt_iml_max_1.3b: AUROC=0.5687 (n=1004)
  cmv_machine_continuation_t0_3b: AUROC=0.7930 (n=1001)
